2026 Season - All Meets & Assignments,,,,,,,,,,
,,,,,,,,,,
Week,Event,Date,Type,Lead,Color,,Producer,Status,Talent grooup chat ,Available Talent
Week 5,WEST CHESTER: Jan 31 vs SUNY Cortland - 1:00 PM ET,Jan 31,WAG,Tiara DeTommaso,Abigail Bang,,Isaac ,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 5,SPRINGFIELD: Feb 01 vs William & Mary - 1:00 PM ET,Feb 01,MAG,Stephen Frost,Andrew Carter,,Isaac ,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 5,UW-WHITEWATER: Jan 31 vs Gustavus Adolphus College,Jan 31,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 5,ITHACA: Feb 01 vs Springfield College,Feb 01,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 5,SEMO: Feb 01 vs Ball State,Feb 01,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 5,WINONA STATE: Feb 01 vs Simpson College - 3:00 PM,Feb 01,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 6,SEMO: Feb 06 vs Bowling Green,Feb 06,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 6,CENTENARY: Feb 06 vs Greenville University - 5:00,Feb 06,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 6,GREENVILLE: Feb 07 vs Simpson College - 1:00 PM CT,Feb 07,MAG,Yaroslav,Noah Newfled,,Zane   ,Site Eval on friday night,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 6,NAVY: Feb 07 vs Army - 2:00 PM ET,Feb 07,MAG,Brandon B.,Christian Marsh,,Kyle,checking in periodically,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
